repo,verdict,match_ratio,type_ratio,n_gt,phantoms,missed,type_errors,path_ambiguities,has_compose,has_compose_build,selected_compose,port_verifiable,port_ok,entry_verifiable,entry_ok
calendar,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,1,1
chat-app,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,2,2
chathurperera_uptime-monitor,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,1
chc-gaming,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,1,1,2,2
chodisettivijay_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
compose-node-generated,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,0,0
connect,mostly_correct,1.0000,1.0000,2,1,0,0,0,1,1,docker-compose.yml,1,1,1,1
crud-node-reactjs-mongo-docker,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,1
dankocher_mern-docker-compose,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
darshan-bs-2005_mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
dead-simple-react-app,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,0,0
deepeshbarod80_MERN-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,0,0
deploy-scripts,correct,1.0000,1.0000,4,0,0,0,0,1,1,projects/rails/template/environments/default/docker/docker-compose.yml,0,0,0,0
dheeraj-code1_mern-docker-compose,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
dhiyanahL_food-ordering-microservices,wrong,0.0000,1.0000,12,1,12,0,0,1,1,docker-compose.yaml,0,0,0,0
ding,correct,1.0000,1.0000,1,0,0,0,0,1,0,,0,0,1,1
divyagtm_items-app,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
docker-app-monolith,mostly_correct,1.0000,1.0000,2,1,0,0,0,1,1,docker-compose.yml,1,0,1,1
docker-compose-node-react,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,0
docker-node-express-react-webpack,correct,1.0000,1.0000,1,0,0,0,0,0,0,,0,0,1,1
docker-node-pg,mostly_correct,0.5000,0.0000,2,0,1,1,0,1,1,docker-compose.yml,1,1,0,0
docker-node-react-boilerplate,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,0,1,1
docker-node-react-demo-webapp,correct,1.0000,1.0000,1,0,0,0,0,0,0,,0,0,1,0
docker-node-react-mariadb-ts,mostly_correct,1.0000,1.0000,2,1,0,0,0,1,1,docker-compose.yml,1,0,1,1
docker-node-react-mongo,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,1,1
docker-node-react-produccion,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,1,1,1
docker-node-react-sass-boilerplate,correct,1.0000,1.0000,1,0,0,0,0,1,0,,0,0,1,1
docker-nodejs-react,correct,1.0000,1.0000,1,0,0,0,0,1,0,,0,0,1,1
docker-react-node,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yaml,2,2,1,1
docker-react-node-boilerplate,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
docker-react-node-scaffold,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,0,0,0,0
docker-reactbase,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,1,1
dockerNodeReact,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
docker_back_node_react,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,0,0,1,1
dockerised-react-express-api,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,0,0,0
dockerize-nodeJs-mongoDB-React-with-VSCode,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,0
dockerized-node-react,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,1,1
dockerized-razzle-nestjs-template,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,1,1,1,0
dogadore,correct,1.0000,1.0000,1,0,0,0,0,1,1,docker-compose.yml,1,1,1,0
dulaj03_MERN_Stack_Project,correct,1.0000,1.0000,5,0,0,0,0,1,1,docker-compose.yml,5,5,3,2
dushf12_MERN-docker-compose,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
duszmox_dockerized-mern-app,correct,1.0000,1.0000,0,0,0,0,0,0,0,,0,0,0,0
dylut2000_mern-docker-compose-template,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,2,2,1,1
dzmitry-viartseika_docker-mern-test,correct,1.0000,1.0000,3,0,0,0,0,1,1,docker-compose.yml,2,0,2,2
ecommerceProject,correct,1.0000,1.0000,2,0,0,0,0,1,1,docker-compose.yml,1,1,1,1
emreyeprem_mern-docker-compose,correct,1.0000,1.0000,2,0,0,0,0,1,0,,0,0,1,1
esteveslima_xswords,correct,1.0000,1.0000,4,0,0,0,0,1,1,deployments/docker-compose.yml,4,1,3,0
express-groomer-a-be,mostly_correct,0.5000,1.0000,2,0,1,0,0,1,0,,0,0,1,1
express-groomer-c-be,correct,1.0000,1.0000,1,0,0,0,0,1,0,,0,0,1,1
express-react-app,correct,1.0000,1.0000,2,0,0,0,0,0,0,,0,0,1,0
express-react-ts-auth,mostly_correct,0.5000,1.0000,2,1,1,0,0,1,1,docker-compose.yml,0,0,0,0
